番号,歌の名前,歌手名,作詞,作曲,発売日,編曲,年代,性別
1,セクシャルバイオレットNo1,桑名 正博,松本 隆,筒美 京平,1979年7月21日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
2,You're my baby,桑名 正博,松本 隆,筒美 京平,1979年7月21日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
3,毛皮のヴィーナス,桑名 正博,松本 隆,筒美 京平,1976年12月16日,,1970年代,男性
4,ムーディーウーマン,桑名 正博,松本 隆,筒美 京平,1979年12月16日,,1970年代,男性
5,To Be or Not To Be,桑名 正博,松本 隆,筒美 京平,1979年12月16日,,1970年代,男性
6,The Super Star,桑名 正博,松本 隆,筒美 京平,1979年12月1日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
7,テキーラ・ムーン,桑名 正博,松本 隆,筒美 京平,1978年11月25日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
8,満潮,桑名 正博,松本 隆,筒美 京平,1978年7月25日,鈴木 茂・船山 基紀,1970年代,男性
9,哀愁トゥナイト,桑名 正博,松本 隆,筒美 京平,1977年6月5日,萩田 光雄,1970年代,男性
10,さようなら夏,桑名 正博,松本 隆,筒美 京平,1977年6月5日,萩田 光雄、船山基紀,1970年代,男性
11,薔薇と海賊,桑名 正博,松本 隆,筒美 京平,1978年7月5日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
12,サード・レディー,桑名 正博,松本 隆,筒美 京平,1978年11月25日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
13,スコーピオン,桑名 正博,松本 隆,筒美 京平,1979年4月21日,桑名正博&Tear Drops,1970年代,男性
14,俺たちに明日はない,桑名 正博,松本 隆,筒美 京平,1979年4月21日,桑名正博&Tear Drops,1970年代,男性
15,ロンリネス,桑名 正博,下田 逸郎,筒美 京平,1980年10月5日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
16,SILENT DAYS,桑名 正博,下田 逸郎,筒美 京平,1980年10月5日,桑名正博&Tear Drops 戸塚 修,1970年代,男性
17,追跡ハートエイク,桑名 正博,糸井 重里,桑名 正博,1981年3月5日,桑名正博、難波正司、萩田光雄,1970年代,男性
18,To THE SUN,桑名 正博,下田 逸郎,桑名 正博,1981年3月5日,桑名正博、難波正司、萩田光雄,1970年代,男性
18,北の国から-遥かなる大地より～蛍のテーマ,さだ　まさし,,,,,1970年代,男性
19,道化師のソネット,さだ　まさし,,,,,1970年代,男性
20,雨やどり(月虹ライブ),さだ　まさし,,,,,1970年代,男性
21,案山子,さだ　まさし,,,,,1970年代,男性
22,関白宣言,さだ　まさし,,,,,1970年代,男性
23,関白失脚,さだ　まさし,,,,,1970年代,男性
24,秋桜,さだ　まさし,,,,,1970年代,男性
25,精霊流し,さだ　まさし,,,,,1970年代,男性
26,無縁坂,さだ　まさし,,,,,1970年代,男性
27,親父の一番長い日,さだ　まさし,,,,,1970年代,男性
28,防人の詩,さだ　まさし,,,,,1970年代,男性
29,風に立つライオン,さだ　まさし,,,,,1970年代,男性
30,僕のサラダガール,GODIEGO,,,,,1970年代,男性
31,いろはのい,GODIEGO,,,,,1970年代,男性
32,シンフォニカ,GODIEGO,,,,,1970年代,男性
33,君は恋のチェリー,GODIEGO,,,,,1970年代,男性
34,ミラージュのテーマ,GODIEGO,,,,,1970年代,男性
35,ガンダーラ,GODIEGO,,,,,1970年代,男性
36,モンキー・マジック,GODIEGO,,,,,1970年代,男性
37,ビューティフル・ネーム,GODIEGO,,,,,1970年代,男性
38,はるかな旅へ,GODIEGO,,,,,1970年代,男性
39,銀河鉄道999,GODIEGO,,,,,1970年代,男性
40,ホーリー&ブライト,GODIEGO,,,,,1970年代,男性
41,リターン・トゥ・アフリカ,GODIEGO,,,,,1970年代,男性
42,ポートピア,GODIEGO,,,,,1970年代,男性
35,(カミング・トゥゲザー・イン)カトマンズ,GODIEGO,,,,,1970年代,男性
43,アフター・ザ・レイン,GODIEGO,,,,,1970年代,男性
44,ナマステ,GODIEGO,,,,,1970年代,男性
45,愛のスリーイヤーズ,GODIEGO,,,,,1970年代,男性
46,ザ・サンライズ,GODIEGO,,,,,1970年代,男性
47,キャリー・ラブ(Single Version),GODIEGO,,,,,1970年代,男性
48,JAVA WA JAVA in the Book of Godiego,GODIEGO,,,,,1970年代,男性
